48	1.0	1.0	0.25	['F2', 'C3', 'G3', 'E4', 'E5']	['P5', 'M9', 'M14', 'M21', 'M10', 'M17', 'M6', 'M13', 'P8']	[0, 2, 3, 7]	[0, 4, 5, 7]
48	1.25	0.125	0.25	['F2', 'C3', 'G3', 'E4', 'B-4']	['P5', 'M9', 'M14', 'P18', 'M10', 'm14', 'M6', 'm10', 'd5']	[0, 1, 3, 6, 8]	[4, 5, 7, 10, 0]
48	1.5	0.25	1.0	['F2', 'C3', 'G3', 'E4', 'D5']	['P5', 'M9', 'M14', 'M20', 'M10', 'M16', 'M6', 'P12', 'm7']	[0, 2, 3, 5, 7]	[0, 2, 4, 5, 7]
48	2.5	0.25	0.25	['F2', 'C3', 'G#3', 'F4', 'D5']	['P5', 'A9', 'P15', 'M20', 'A5', 'P11', 'M16', 'd7', 'd12', 'M6']	[0, 2, 5, 8]	[0, 2, 5, 8]
48	2.75	0.125	0.125	['F2', 'C3', 'G#3', 'F4', 'E5']	['P5', 'A9', 'P15', 'M21', 'A5', 'P11', 'M17', 'd7', 'm13', 'M7']	[0, 1, 4, 8]	[4, 5, 8, 0]
48	2.88	0.0625	0.125	['F2', 'C3', 'G#3', 'F4', 'D5']	['P5', 'A9', 'P15', 'M20', 'A5', 'P11', 'M16', 'd7', 'd12', 'M6']	[0, 2, 5, 8]	[0, 2, 5, 8]
49	1.0	1.0	0.5	['F2', 'C3', 'A3', 'F4', 'C5']	['P5', 'M10', 'P15', 'P19', 'M6', 'P11', 'm6', 'm10']	[0, 3, 7]	[5, 9, 0]
49	1.5	0.25	0.5	['F2', 'C3', 'A3', 'F4', 'C5']	['P5', 'M10', 'P15', 'P19', 'M6', 'P11', 'm6', 'm10']	[0, 3, 7]	[5, 9, 0]
49	2.0	0.5	0.25	['F2', 'C3', 'A3', 'F4', 'C5']	['P5', 'M10', 'P15', 'P19', 'M6', 'P11', 'm6', 'm10']	[0, 3, 7]	[5, 9, 0]
49	2.25	0.125	0.25	['F2', 'C3', 'A3', 'F4', 'A4']	['P5', 'M10', 'P15', 'M17', 'M6', 'P11', 'M13', 'm6', 'P8', 'M3']	[0, 3, 7]	[5, 9, 0]
49	2.5	0.25	0.25	['G1', 'G2', 'E4', 'B-4']	['P8', 'M20', 'm24', 'M13', 'm17', 'd5']	[0, 3, 6]	[4, 7, 10]
49	2.75	0.125	0.25	['G1', 'G2', 'E4', 'D5']	['P8', 'M20', 'P26', 'M13', 'P19', 'm7']	[0, 2, 5]	[2, 4, 7]
50	1.0	1.0	0.25	['A1', 'A2', 'C4', 'C5']	['P8', 'm17', 'm24', 'm10']	[0, 3]	[9, 0]
50	1.25	0.125	0.25	['A1', 'A2', 'C4', 'F4']	['P8', 'm17', 'm20', 'm10', 'm13', 'P4']	[0, 3, 7]	[5, 9, 0]
50	1.5	0.25	1.0	['B-1', 'B-2', 'D4', 'A4']	['P8', 'M17', 'M21', 'M10', 'M14', 'P5']	[0, 1, 5]	[9, 10, 2]
50	2.5	0.25	0.25	['C2', 'C3', 'B-3', 'E4', 'G4']	['P8', 'm14', 'M17', 'P19', 'm7', 'M10', 'P12', 'A4', 'M6', 'm3']	[0, 2, 5, 8]	[4, 7, 10, 0]
50	2.75	0.125	0.125	['C2', 'C3', 'B-3', 'E4', 'A4']	['P8', 'm14', 'M17', 'M20', 'm7', 'M10', 'M13', 'A4', 'M7', 'P4']	[0, 1, 3, 7]	[9, 10, 0, 4]
50	2.88	0.0625	0.125	['C2', 'C3', 'B-3', 'E4', 'G4']	['P8', 'm14', 'M17', 'P19', 'm7', 'M10', 'P12', 'A4', 'M6', 'm3']	[0, 2, 5, 8]	[4, 7, 10, 0]
51	1.0	1.0	0.5	['F1', 'F2', 'A3', 'F4']	['P8', 'M17', 'P22', 'M10', 'P15', 'm6']	[0, 4]	[5, 9]
51	1.5	0.25	0.5	['F2', 'C3', 'A3', 'F4', 'A4']	['P5', 'M10', 'P15', 'M17', 'M6', 'P11', 'M13', 'm6', 'P8', 'M3']	[0, 3, 7]	[5, 9, 0]
51	2.0	0.5	0.25	['F2', 'C3', 'A3', 'F4', 'A4']	['P5', 'M10', 'P15', 'M17', 'M6', 'P11', 'M13', 'm6', 'P8', 'M3']	[0, 3, 7]	[5, 9, 0]
51	2.25	0.125	0.25	['F2', 'C3', 'A3', 'F4', 'A4']	['P5', 'M10', 'P15', 'M17', 'M6', 'P11', 'M13', 'm6', 'P8', 'M3']	[0, 3, 7]	[5, 9, 0]
51	2.5	0.25	0.25	['F2', 'C3', 'A3', 'F4', 'A4']	['P5', 'M10', 'P15', 'M17', 'M6', 'P11', 'M13', 'm6', 'P8', 'M3']	[0, 3, 7]	[5, 9, 0]
51	2.75	0.125	0.25	['F2', 'C3', 'A3', 'F4', 'A4', 'C5']	['P5', 'M10', 'P15', 'M17', 'P19', 'M6', 'P11', 'M13', 'm6', 'P8', 'm10', 'M3', 'm3']	[0, 3, 7]	[5, 9, 0]
52	1.0	1.0	0.5	['F2', 'C3', 'C4', 'A4', 'C5']	['P5', 'P12', 'M17', 'P19', 'P8', 'M13', 'P15', 'M6', 'm3']	[0, 3, 7]	[5, 9, 0]
52	1.5	0.25	0.5	['F2', 'C3', 'C4', 'A4', 'C5']	['P5', 'P12', 'M17', 'P19', 'P8', 'M13', 'P15', 'M6', 'm3']	[0, 3, 7]	[5, 9, 0]
52	2.0	0.5	0.25	['F2', 'C3', 'D4', 'B-4', 'C5']	['P5', 'M13', 'P18', 'P19', 'M9', 'm14', 'P15', 'm6', 'm7', 'M2']	[0, 2, 4, 7]	[10, 0, 2, 5]
52	2.25	0.125	0.25	['F2', 'C3', 'D4', 'A4', 'B-4']	['P5', 'M13', 'M17', 'P18', 'M9', 'm14', 'm6', 'm2']	[0, 1, 3, 5, 8]	[9, 10, 0, 2, 5]
52	2.5	0.25	0.25	['F2', 'C3', 'E4', 'B-4']	['P5', 'M14', 'P18', 'M10', 'm14', 'd5']	[0, 1, 5, 7]	[10, 0, 4, 5]
52	2.75	0.125	0.25	['F2', 'C3', 'E4', 'B-4', 'D5']	['P5', 'M14', 'P18', 'M20', 'M10', 'm14', 'M16', 'd5', 'm7', 'M3']	[0, 1, 3, 5, 7]	[10, 0, 2, 4, 5]
53	1.0	1.0	0.5	['F2', 'C3', 'F4', 'A4', 'C5']	['P5', 'P15', 'M17', 'P19', 'P11', 'M13', 'M3', 'm3']	[0, 3, 7]	[5, 9, 0]
53	1.5	0.25	0.5	['F2', 'C3', 'F4', 'A4', 'C5']	['P5', 'P15', 'M17', 'P19', 'P11', 'M13', 'M3', 'm3']	[0, 3, 7]	[5, 9, 0]
53	2.0	0.5	0.25	['F2', 'C3', 'F4', 'A4', 'C5']	['P5', 'P15', 'M17', 'P19', 'P11', 'M13', 'M3', 'm3']	[0, 3, 7]	[5, 9, 0]
53	2.25	0.125	0.25	['F2', 'C3', 'F4', 'A4']	['P5', 'P15', 'M17', 'P11', 'M13', 'M3']	[0, 3, 7]	[5, 9, 0]
53	2.5	0.25	0.25	['F2', 'C3', 'C4', 'A4', 'C5']	['P5', 'P12', 'M17', 'P19', 'P8', 'M13', 'P15', 'M6', 'm3']	[0, 3, 7]	[5, 9, 0]
53	2.75	0.125	0.25	['F2', 'C3', 'C4', 'A4', 'C5']	['P5', 'P12', 'M17', 'P19', 'P8', 'M13', 'P15', 'M6', 'm3']	[0, 3, 7]	[5, 9, 0]
54	1.0	1.0	0.5	['F2', 'C3', 'G4', 'B-4']	['P5', 'M16', 'P18', 'P12', 'm14', 'm3']	[0, 2, 5, 7]	[5, 7, 10, 0]
54	1.5	0.25	0.25	['F2', 'C3', 'F4', 'A4']	['P5', 'P15', 'M17', 'P11', 'M13', 'M3']	[0, 3, 7]	[5, 9, 0]
54	1.75	0.125	0.25	['F2', 'C3', 'F4', 'A4']	['P5', 'P15', 'M17', 'P11', 'M13', 'M3']	[0, 3, 7]	[5, 9, 0]
54	2.0	0.5	0.5	['F2', 'C3', 'E4', 'G4']	['P5', 'M14', 'M16', 'M10', 'P12', 'm3']	[0, 2, 3, 7]	[0, 4, 5, 7]
54	2.5	0.25	0.25	['F2', 'C3', 'D4', 'E4', 'B-4']	['P5', 'M13', 'M14', 'P18', 'M9', 'M10', 'm14', 'M2', 'm6', 'd5']	[0, 1, 3, 5, 7]	[10, 0, 2, 4, 5]
54	2.75	0.125	0.25	['F2', 'C3', 'D4', 'E4', 'B-4']	['P5', 'M13', 'M14', 'P18', 'M9', 'M10', 'm14', 'M2', 'm6', 'd5']	[0, 1, 3, 5, 7]	[10, 0, 2, 4, 5]
55	1.0	1.0	0.16666666666666666	['F2', 'C3', 'C4', 'F4', 'A4']	['P5', 'P12', 'P15', 'M17', 'P8', 'P11', 'M13', 'P4', 'M6', 'M3']	[0, 3, 7]	[5, 9, 0]
55	117/100	0.0625	0.16666666666666666	['F2', 'C3', 'C4', 'F4', 'A4', 'B-4']	['P5', 'P12', 'P15', 'M17', 'P18', 'P8', 'P11', 'M13', 'm14', 'P4', 'M6', 'm7', 'M3', 'm2']	[0, 2, 3, 7]	[5, 9, 10, 0]
55	133/100	0.0625	0.16666666666666666	['F2', 'C3', 'C4', 'F4', 'A4']	['P5', 'P12', 'P15', 'M17', 'P8', 'P11', 'M13', 'P4', 'M6', 'M3']	[0, 3, 7]	[5, 9, 0]
55	1.5	0.25	0.16666666666666666	['F2', 'C3', 'B-3', 'E4', 'G4']	['P5', 'P11', 'M14', 'M16', 'm7', 'M10', 'P12', 'A4', 'M6', 'm3']	[0, 1, 3, 6, 8]	[4, 5, 7, 10, 0]
55	167/100	0.0625	0.16666666666666666	['F2', 'C3', 'B-3', 'E4', 'G4', 'A4']	['P5', 'P11', 'M14', 'M16', 'M17', 'm7', 'M10', 'P12', 'M13', 'A4', 'M6', 'M7', 'm3', 'P4', 'M2']	[0, 1, 3, 5, 6, 8]	[4, 5, 7, 9, 10, 0]
55	183/100	0.0625	0.16666666666666666	['F2', 'C3', 'B-3', 'E4', 'G4']	['P5', 'P11', 'M14', 'M16', 'm7', 'M10', 'P12', 'A4', 'M6', 'm3']	[0, 1, 3, 6, 8]	[4, 5, 7, 10, 0]
55	2.0	0.5	0.5	['F2', 'C3', 'A3', 'F4']	['P5', 'M10', 'P15', 'M6', 'P11', 'm6']	[0, 3, 7]	[5, 9, 0]
55	2.5	0.25	0.5	['F1', 'F2', 'A3', 'F4']	['P8', 'M17', 'P22', 'M10', 'P15', 'm6']	[0, 4]	[5, 9]
56	1.0	1.0	0.5	['F1', 'F2', 'F4', 'A4', 'C5', 'F5', 'C6']	['P8', 'P22', 'M24', 'P26', 'P29', 'P33', 'P15', 'M17', 'P19', 'M3', 'P5', 'P12', 'm3', 'm6', 'm10', 'P4']	[0, 3, 7]	[5, 9, 0]
56	1.5	0.25	0.5	['F1', 'F2', 'F4', 'A4', 'C5', 'F5', 'C6']	['P8', 'P22', 'M24', 'P26', 'P29', 'P33', 'P15', 'M17', 'P19', 'M3', 'P5', 'P12', 'm3', 'm6', 'm10', 'P4']	[0, 3, 7]	[5, 9, 0]
56	2.0	0.5	0.25	['F1', 'F2', 'F4', 'A4', 'C5', 'F5', 'C6']	['P8', 'P22', 'M24', 'P26', 'P29', 'P33', 'P15', 'M17', 'P19', 'M3', 'P5', 'P12', 'm3', 'm6', 'm10', 'P4']	[0, 3, 7]	[5, 9, 0]
56	2.25	0.125	0.25	['F1', 'F2', 'F4', 'A4', 'C5', 'F5', 'C6']	['P8', 'P22', 'M24', 'P26', 'P29', 'P33', 'P15', 'M17', 'P19', 'M3', 'P5', 'P12', 'm3', 'm6', 'm10', 'P4']	[0, 3, 7]	[5, 9, 0]
56	2.5	0.25	0.25	['F1', 'F2', 'F4', 'A4', 'C5', 'F5', 'C6']	['P8', 'P22', 'M24', 'P26', 'P29', 'P33', 'P15', 'M17', 'P19', 'M3', 'P5', 'P12', 'm3', 'm6', 'm10', 'P4']	[0, 3, 7]	[5, 9, 0]
56	2.75	0.125	0.25	['F1', 'F2', 'F4', 'A4', 'C5', 'F5', 'C6']	['P8', 'P22', 'M24', 'P26', 'P29', 'P33', 'P15', 'M17', 'P19', 'M3', 'P5', 'P12', 'm3', 'm6', 'm10', 'P4']	[0, 3, 7]	[5, 9, 0]
57	1.0	1.0	0.5	['F4', 'A4', 'C5', 'F5', 'C6']	['M3', 'P5', 'P8', 'P12', 'm3', 'm6', 'm10', 'P4']	[0, 3, 7]	[5, 9, 0]
57	1.5	0.25	0.5	['F4', 'A4', 'C5', 'F5', 'C6']	['M3', 'P5', 'P8', 'P12', 'm3', 'm6', 'm10', 'P4']	[0, 3, 7]	[5, 9, 0]
57	2.0	0.5	0.25	['F4', 'G4', 'B-4', 'C5', 'D5', 'B-5']	['M2', 'P4', 'P5', 'M6', 'P11', 'm3', 'm10', 'M3', 'P8', 'm7', 'm6']	[0, 2, 4, 7, 9]	[10, 0, 2, 5, 7]
57	2.25	0.125	0.25	['F4', 'G4', 'A4', 'D5', 'B-5']	['M2', 'M3', 'M6', 'P11', 'P5', 'm10', 'P4', 'm9', 'm6']	[0, 1, 3, 5, 8]	[2, 5, 7, 9, 10]
57	2.5	0.25	0.25	['B-4', 'E5', 'G5']	['A4', 'M6', 'm3']	[0, 3, 6]	[4, 7, 10]
57	2.75	0.125	0.25	['B-4', 'D5', 'E5', 'G5']	['M3', 'A4', 'M6', 'M2', 'P4', 'm3']	[0, 2, 5, 8]	[2, 4, 7, 10]
58	1.0	1.0	0.5	['F4', 'A4', 'C5', 'F5', 'C6']	['M3', 'P5', 'P8', 'P12', 'm3', 'm6', 'm10', 'P4']	[0, 3, 7]	[5, 9, 0]
58	1.5	0.25	0.5	['F4', 'A4', 'C5', 'F5', 'C6']	['M3', 'P5', 'P8', 'P12', 'm3', 'm6', 'm10', 'P4']	[0, 3, 7]	[5, 9, 0]
58	2.0	0.5	0.5	['F4', 'A4', 'C5', 'F5', 'C6']	['M3', 'P5', 'P8', 'P12', 'm3', 'm6', 'm10', 'P4']	[0, 3, 7]	[5, 9, 0]
58	2.5	0.25	0.5	['F-4', 'A-4', 'B4', 'D5', 'A-5', 'D6']	['M3', 'AA4', 'A6', 'M10', 'A13', 'A2', 'A4', 'P8', 'A11', 'm3', 'd7', 'm10', 'd5']	[0, 2, 5, 8]	[8, 11, 2, 4]
59	1.0	1.0	0.25	['E-4', 'A-4', 'C5', 'E-5', 'A-5', 'E-6']	['P4', 'M6', 'P8', 'P11', 'P15', 'M3', 'P5', 'P12', 'm3', 'm6', 'm10']	[0, 3, 7]	[8, 0, 3]
59	1.25	0.125	0.25	['E-4', 'A-4', 'C5', 'E-5', 'A-5', 'E-6']	['P4', 'M6', 'P8', 'P11', 'P15', 'M3', 'P5', 'P12', 'm3', 'm6', 'm10']	[0, 3, 7]	[8, 0, 3]
59	1.5	0.25	0.25	['E-4', 'A-4', 'C5', 'E-5', 'A-5', 'E-6']	['P4', 'M6', 'P8', 'P11', 'P15', 'M3', 'P5', 'P12', 'm3', 'm6', 'm10']	[0, 3, 7]	[8, 0, 3]
59	1.75	0.125	0.25	['E-4', 'A-4', 'C5', 'E-5', 'A-5', 'E-6']	['P4', 'M6', 'P8', 'P11', 'P15', 'M3', 'P5', 'P12', 'm3', 'm6', 'm10']	[0, 3, 7]	[8, 0, 3]
59	2.0	0.5	0.5	['E-2', 'E-3', 'D-4', 'F4']	['P8', 'm14', 'M16', 'm7', 'M9', 'M3']	[0, 2, 4]	[1, 3, 5]
59	2.5	0.25	0.16666666666666666	['E-2', 'E-3', 'D-4', 'G4', 'B-4']	['P8', 'm14', 'M17', 'P19', 'm7', 'M10', 'P12', 'A4', 'M6', 'm3']	[0, 2, 5, 8]	[7, 10, 1, 3]
59	267/100	0.0625	0.16666666666666666	['E-2', 'E-3', 'D-4', 'G4', 'B-4', 'C5']	['P8', 'm14', 'M17', 'P19', 'M20', 'm7', 'M10', 'P12', 'M13', 'A4', 'M6', 'M7', 'm3', 'P4', 'M2']	[0, 2, 3, 5, 8]	[7, 10, 0, 1, 3]
59	283/100	0.0625	0.16666666666666666	['E-2', 'E-3', 'D-4', 'G4', 'B-4']	['P8', 'm14', 'M17', 'P19', 'm7', 'M10', 'P12', 'A4', 'M6', 'm3']	[0, 2, 5, 8]	[7, 10, 1, 3]
60	1.0	1.0	0.5	['A-1', 'A-2', 'C4', 'A-4']	['P8', 'M17', 'P22', 'M10', 'P15', 'm6']	[0, 4]	[8, 0]
60	1.5	0.25	0.5	['A-1', 'A-2', 'C4', 'A-4']	['P8', 'M17', 'P22', 'M10', 'P15', 'm6']	[0, 4]	[8, 0]
60	2.0	0.5	0.5	['A-1', 'A-2', 'C4', 'A-4']	['P8', 'M17', 'P22', 'M10', 'P15', 'm6']	[0, 4]	[8, 0]
60	2.5	0.25	0.5	['A-1', 'A-2', 'E-4', 'A-4', 'C5']	['P8', 'P19', 'P22', 'M24', 'P12', 'P15', 'M17', 'P4', 'M6', 'M3']	[0, 3, 7]	[8, 0, 3]
61	1.0	1.0	0.5	['C4', 'E-4', 'A-4', 'E-5']	['m3', 'm6', 'm10', 'P4', 'P8', 'P5']	[0, 3, 7]	[8, 0, 3]
61	1.5	0.25	0.5	['C4', 'E-4', 'A-4', 'E-5']	['m3', 'm6', 'm10', 'P4', 'P8', 'P5']	[0, 3, 7]	[8, 0, 3]
61	2.0	0.5	0.5	['C4', 'E-4', 'A-4', 'E-5']	['m3', 'm6', 'm10', 'P4', 'P8', 'P5']	[0, 3, 7]	[8, 0, 3]
61	2.5	0.25	0.25	['D4', 'F4', 'C5', 'F5']	['m3', 'm7', 'm10', 'P5', 'P8', 'P4']	[0, 2, 5]	[0, 2, 5]
61	2.75	0.125	0.25	['D4', 'F4', 'C5', 'D5']	['m3', 'm7', 'P8', 'P5', 'M6', 'M2']	[0, 2, 5]	[0, 2, 5]
62	1.0	1.0	0.5	['C2', 'C3', 'C5', 'E5', 'G5']	['P8', 'P22', 'M24', 'P26', 'P15', 'M17', 'P19', 'M3', 'P5', 'm3']	[0, 3, 7]	[0, 4, 7]
62	1.5	0.25	0.5	['C2', 'C3', 'C5', 'E5', 'G5']	['P8', 'P22', 'M24', 'P26', 'P15', 'M17', 'P19', 'M3', 'P5', 'm3']	[0, 3, 7]	[0, 4, 7]
62	2.0	0.5	0.5	['C2', 'C3', 'C5', 'E5', 'G5']	['P8', 'P22', 'M24', 'P26', 'P15', 'M17', 'P19', 'M3', 'P5', 'm3']	[0, 3, 7]	[0, 4, 7]
62	2.5	0.25	0.5	['C2', 'C3', 'C4', 'C5', 'E5', 'G5']	['P8', 'P15', 'P22', 'M24', 'P26', 'M17', 'P19', 'M10', 'P12', 'M3', 'P5', 'm3']	[0, 3, 7]	[0, 4, 7]
63	1.0	1.0	0.5	['G4', 'B-4', 'D5', 'F5']	['m3', 'P5', 'm7', 'M3']	[0, 3, 5, 8]	[2, 5, 7, 10]
63	1.5	0.25	0.25	['G4', 'B-4', 'D5', 'F5']	['m3', 'P5', 'm7', 'M3']	[0, 3, 5, 8]	[2, 5, 7, 10]
63	1.75	0.125	0.25	['G4', 'B-4', 'D5', 'F5']	['m3', 'P5', 'm7', 'M3']	[0, 3, 5, 8]	[2, 5, 7, 10]
63	2.0	0.5	0.5	['G4', 'B-4', 'D5', 'F5']	['m3', 'P5', 'm7', 'M3']	[0, 3, 5, 8]	[2, 5, 7, 10]
63	2.5	0.25	0.25	['G4', 'B-4', 'D5', 'F5']	['m3', 'P5', 'm7', 'M3']	[0, 3, 5, 8]	[2, 5, 7, 10]
63	2.75	0.125	0.25	['G4', 'B-4', 'D5', 'F5']	['m3', 'P5', 'm7', 'M3']	[0, 3, 5, 8]	[2, 5, 7, 10]
64	1.0	1.0	0.5	['C4', 'G4', 'B-4', 'E5']	['P5', 'm7', 'M10', 'm3', 'M6', 'A4']	[0, 2, 5, 8]	[4, 7, 10, 0]
64	1.5	0.25	0.5	['C4', 'G4', 'B-4', 'E5']	['P5', 'm7', 'M10', 'm3', 'M6', 'A4']	[0, 2, 5, 8]	[4, 7, 10, 0]
64	2.0	0.5	0.5	['C4', 'G4', 'B-4', 'E5']	['P5', 'm7', 'M10', 'm3', 'M6', 'A4']	[0, 2, 5, 8]	[4, 7, 10, 0]
64	2.5	0.25	0.5	['C4', 'G4', 'B-4', 'E5']	['P5', 'm7', 'M10', 'm3', 'M6', 'A4']	[0, 2, 5, 8]	[4, 7, 10, 0]
65	1.0	1.0	0.5	['E4', 'B-4', 'D5', 'G5']	['d5', 'm7', 'm10', 'M3', 'M6', 'P4']	[0, 2, 5, 8]	[2, 4, 7, 10]
65	1.5	0.25	0.25	['E4', 'B-4', 'D5', 'G5']	['d5', 'm7', 'm10', 'M3', 'M6', 'P4']	[0, 2, 5, 8]	[2, 4, 7, 10]
65	1.75	0.125	0.25	['E4', 'B-4', 'D5', 'G5']	['d5', 'm7', 'm10', 'M3', 'M6', 'P4']	[0, 2, 5, 8]	[2, 4, 7, 10]
65	2.0	0.5	0.25	['E4', 'B-4', 'D5', 'G5']	['d5', 'm7', 'm10', 'M3', 'M6', 'P4']	[0, 2, 5, 8]	[2, 4, 7, 10]
65	2.25	0.125	0.25	['E4', 'B-4', 'D5', 'G5']	['d5', 'm7', 'm10', 'M3', 'M6', 'P4']	[0, 2, 5, 8]	[2, 4, 7, 10]
65	2.5	0.25	0.25	['E4', 'B-4', 'D5', 'G5']	['d5', 'm7', 'm10', 'M3', 'M6', 'P4']	[0, 2, 5, 8]	[2, 4, 7, 10]
65	2.75	0.125	0.25	['E4', 'B-4', 'D5', 'G5']	['d5', 'm7', 'm10', 'M3', 'M6', 'P4']	[0, 2, 5, 8]	[2, 4, 7, 10]
66	1.0	1.0	0.5	['A3', 'E4', 'C#5', 'E5', 'A5']	['P5', 'M10', 'P12', 'P15', 'M6', 'P8', 'P11', 'm3', 'm6', 'P4']	[0, 3, 7]	[9, 1, 4]
66	1.5	0.25	1.0	['A3', 'E4', 'C#5', 'E5', 'A5']	['P5', 'M10', 'P12', 'P15', 'M6', 'P8', 'P11', 'm3', 'm6', 'P4']	[0, 3, 7]	[9, 1, 4]
66	2.5	0.25	0.5	['G3', 'C4', 'B-4', 'C5', 'E5', 'B-5']	['P4', 'm10', 'P11', 'M13', 'm17', 'm7', 'P8', 'M10', 'm14', 'M2', 'A4', 'M3', 'd5']	[0, 2, 5, 8]	[4, 7, 10, 0]
67	1.0	1.0	0.5	['F1', 'F2', 'A4', 'F5', 'A5']	['P8', 'M24', 'P29', 'M31', 'M17', 'P22', 'm6', 'M3']	[0, 4]	[5, 9]
67	1.5	0.25	0.5	['F2', 'C3', 'F3', 'A3', 'F4', 'A4', 'C5']	['P5', 'P8', 'M10', 'P15', 'M17', 'P19', 'P4', 'M6', 'P11', 'M13', 'M3', 'P12', 'm6', 'm10', 'm3']	[0, 3, 7]	[5, 9, 0]
67	2.0	0.5	0.25	['F2', 'C3', 'F3', 'A3', 'F4', 'A4', 'B-4']	['P5', 'P8', 'M10', 'P15', 'M17', 'P18', 'P4', 'M6', 'P11', 'M13', 'm14', 'M3', 'm6', 'm9', 'm2']	[0, 2, 3, 7]	[5, 9, 10, 0]
67	2.25	0.125	0.25	['F2', 'C3', 'F3', 'A3', 'F4', 'G4', 'A4']	['P5', 'P8', 'M10', 'P15', 'M16', 'M17', 'P4', 'M6', 'P11', 'P12', 'M13', 'M3', 'M9', 'm6', 'm7', 'M2']	[0, 2, 4, 7]	[5, 7, 9, 0]
67	2.5	0.25	0.25	['F2', 'C3', 'F3', 'A3', 'F4', 'A4']	['P5', 'P8', 'M10', 'P15', 'M17', 'P4', 'M6', 'P11', 'M13', 'M3', 'm6']	[0, 3, 7]	[5, 9, 0]
67	2.75	0.125	0.25	['F2', 'C3', 'F3', 'A3', 'F4', 'A4', 'B-4']	['P5', 'P8', 'M10', 'P15', 'M17', 'P18', 'P4', 'M6', 'P11', 'M13', 'm14', 'M3', 'm6', 'm9', 'm2']	[0, 2, 3, 7]	[5, 9, 10, 0]
68	1.0	1.0	0.5	['A1', 'A2', 'C4', 'F4', 'C5']	['P8', 'm17', 'm20', 'm24', 'm10', 'm13', 'P4', 'P5']	[0, 3, 7]	[5, 9, 0]
68	1.5	0.25	0.5	['A1', 'A2', 'C4', 'F4', 'C5']	['P8', 'm17', 'm20', 'm24', 'm10', 'm13', 'P4', 'P5']	[0, 3, 7]	[5, 9, 0]
68	2.0	0.5	0.25	['A1', 'A2', 'C4', 'F4', 'C5']	['P8', 'm17', 'm20', 'm24', 'm10', 'm13', 'P4', 'P5']	[0, 3, 7]	[5, 9, 0]
68	2.25	0.125	0.25	['A1', 'A2', 'C4', 'F4', 'C5']	['P8', 'm17', 'm20', 'm24', 'm10', 'm13', 'P4', 'P5']	[0, 3, 7]	[5, 9, 0]
68	2.5	0.25	0.25	['A2', 'C4', 'F4', 'B-4', 'C5']	['m10', 'm13', 'm16', 'm17', 'P4', 'm7', 'P8', 'P5', 'M2']	[0, 2, 3, 7]	[5, 9, 10, 0]
68	2.75	0.125	0.25	['A2', 'C4', 'F4', 'A4', 'C5']	['m10', 'm13', 'P15', 'm17', 'P4', 'M6', 'P8', 'M3', 'P5', 'm3']	[0, 3, 7]	[5, 9, 0]
69	1.0	1.0	0.25	['G2', 'D4', 'F4', 'B-4', 'C5', 'D5']	['P12', 'm14', 'm17', 'P18', 'P19', 'm3', 'm6', 'm7', 'P8', 'P4', 'P5', 'M6', 'M2', 'M3']	[0, 2, 4, 7, 9]	[10, 0, 2, 5, 7]
69	1.25	0.125	0.25	['G2', 'D4', 'F4', 'B-4', 'C5']	['P12', 'm14', 'm17', 'P18', 'm3', 'm6', 'm7', 'P4', 'P5', 'M2']	[0, 2, 4, 7, 9]	[10, 0, 2, 5, 7]
69	1.5	0.25	0.25	['A4']	[]	[0]	[9]
69	1.75	0.125	0.25	['G4']	[]	[0]	[7]
69	2.0	0.5	1.0	['C2', 'C3', 'C4', 'E4', 'B-4', 'C5', 'E5']	['P8', 'P15', 'M17', 'm21', 'P22', 'M24', 'M10', 'm14', 'M3', 'm7', 'd5', 'm6', 'M2', 'A4']	[0, 2, 6]	[10, 0, 4]
70	1.0	1.0	0.5	['F1', 'F2', 'A3', 'F4', 'A4', 'F5']	['P8', 'M17', 'P22', 'M24', 'P29', 'M10', 'P15', 'm6', 'm13', 'M3']	[0, 4]	[5, 9]
70	1.5	0.25	0.5	['F3', 'C4', 'F4', 'A4', 'F5']	['P5', 'P8', 'M10', 'P15', 'P4', 'M6', 'P11', 'M3', 'm6']	[0, 3, 7]	[5, 9, 0]
70	2.0	0.5	0.5	['F3', 'C4', 'F4', 'A4', 'F5']	['P5', 'P8', 'M10', 'P15', 'P4', 'M6', 'P11', 'M3', 'm6']	[0, 3, 7]	[5, 9, 0]
70	2.5	0.25	0.5	['F4', 'C5', 'F5', 'A5', 'F6']	['P5', 'P8', 'M10', 'P15', 'P4', 'M6', 'P11', 'M3', 'm6']	[0, 3, 7]	[5, 9, 0]
71	1.0	1.0	1.0	['F5', 'C6', 'F6', 'A6', 'F7']	['P5', 'P8', 'M10', 'P15', 'P4', 'M6', 'P11', 'M3', 'm6']	[0, 3, 7]	[5, 9, 0]
71	2.0	0.5	1.0				
